CODIGO,DISCIPLINA,CURSO
CE70B,Comunicação oral e escrita,BSI
EL71D,Introdução à Engenharia Mecatrônica,MECATRÔNICA
DI81B,Criatividade,Tecnologia em Design Gráfico
DI61B,História da Arte 1, Bacharelado em Design
GE73H,Comportamento Humano Nas Organizações, 
CL73A,Letras Inglês Básico 2
CL74A,Língua Inglesa – Intermediário 1
ME66J,Metodologia de Projetos,Engenharia Mecânica
FI70C,Princípios de Resistências dos Materiais
EL64G,Metrologia Elétrica
EL64E,Materiais e Dispositivos
MA74C,Cálculo Diferencial e Integral IV B
DI81A,História da Arte
ED70Q,Didática 1
MA77J,História da Matemática A
DI62G,Computação Gráfica 1
DI64G,Fotografia
DI65H,Fundamentos de Interação,Bacharelado em Design
MA75K,Fundamentos de Álgebra
ES70Q,Sociedade e Política no Brasil,Engenharia da Computação 721
GE73D,Instituições De Direito
