ID_ANONIMO;CR;PERIODO;INGRESSO;CODIGO;ANO;PERIODO;NOTA;CH;SITUACAOALUNO
88453;0,8046;5;22/01/21;EL6BC;2020;2;6,5;60;Trancado
88453;0,8046;5;22/01/21;EEY41;2020;2;6;30;Trancado
88453;0,8046;5;22/01/21;EL64B;2020;2;7,8;60;Trancado
88453;0,8046;5;22/01/21;EL65B;2020;2;6;60;Trancado
88453;0,8046;5;22/01/21;EL65F;2020;2;8,7;60;Trancado
88453;0,8046;5;22/01/21;EL66B;2020;2;6;60;Trancado
88453;0,8046;5;22/01/21;ENADE I;2020;2;;0;Trancado
88453;0,8046;5;22/01/21;MA71A;2020;2;9;90;Trancado
88453;0,8046;5;22/01/21;MA71B;2020;2;9,3;90;Trancado
88453;0,8046;5;22/01/21;MA72A;2020;2;9,4;60;Trancado
88453;0,8046;5;22/01/21;MA70H;2020;2;8,3;60;Trancado
88453;0,8046;5;22/01/21;MA73A;2020;2;8,9;60;Trancado
88453;0,8046;5;22/01/21;GE70D;2020;2;8,1;30;Trancado
88453;0,8046;5;22/01/21;FI70A;2020;2;8,6;60;Trancado
88453;0,8046;5;22/01/21;MA70G;2020;2;8,4;60;Trancado
88453;0,8046;5;22/01/21;FI70B;2020;2;9,8;60;Trancado
88453;0,8046;5;22/01/21;GE70H;2021;1;6,5;30;Trancado
88453;0,8046;5;22/01/21;QB70C;2020;2;8,5;75;Trancado
88453;0,8046;5;22/01/21;ES70G;2020;2;8,8;45;Trancado
88453;0,8046;5;22/01/21;FI72N;2020;2;9;30;Trancado
88453;0,8046;5;22/01/21;MA70C;2020;2;8,6;60;Trancado
88453;0,8046;5;22/01/21;QB70E;2020;2;9,5;30;Trancado
88453;0,8046;5;22/01/21;ES70N;2020;2;7,6;30;Trancado
88453;0,8046;5;22/01/21;FI70D;2020;2;7,3;30;Trancado
88453;0,8046;5;22/01/21;CSF13;2020;2;9;90;Trancado
88453;0,8046;5;22/01/21;CSE20;2020;2;7,4;60;Trancado
88453;0,8046;5;22/01/21;CSD20;2021;1;0;45;Trancado
88453;0,8046;5;22/01/21;CSD20;2020;2;0;45;Trancado
88453;0,8046;5;22/01/21;CSF20;2020;2;7,8;45;Trancado
88453;0,8046;5;22/01/21;CSF30;2020;2;7,8;45;Trancado
88453;0,8046;5;22/01/21;CSG20;2021;1;0;45;Trancado
88453;0,8046;5;22/01/21;CSO30;2020;2;7,3;60;Trancado
88453;0,8046;5;22/01/21;CSR30;2020;2;7,9;45;Trancado
88453;0,8046;5;22/01/21;CSV30;2020;2;8,9;60;Trancado
88453;0,8046;5;22/01/21;CSI30;2021;1;0;45;Trancado
88453;0,8046;5;22/01/21;CSR31;2020;2;7,1;30;Trancado
88453;0,8046;5;22/01/21;CSW42;2020;2;9,3;60;Trancado
88453;0,8046;5;22/01/21;CSW40;2020;2;6,7;60;Trancado
88453;0,8046;5;22/01/21;CSW41;2020;2;7,3;60;Trancado
88453;0,8046;5;22/01/21;EL6EE;2020;2;9,7;60;Trancado
88453;0,8046;5;22/01/21;FI74N;2020;2;7,9;30;Trancado
88453;0,8046;5;22/01/21;CSW30;2020;2;6,4;60;Trancado
88453;0,8046;5;22/01/21;EEX11;2020;2;6;45;Trancado
88453;0,8046;5;22/01/21;EEB21;2020;2;8,1;45;Trancado
88453;0,8046;5;22/01/21;EEQ31;2020;2;8;75;Trancado
88453;0,8046;5;22/01/21;EEB31;2020;2;9,6;90;Trancado
88453;0,8046;5;22/01/21;EEB22;2020;2;6,1;45;Trancado
88453;0,8046;5;22/01/21;EEF11;2020;2;9,6;30;Trancado
88453;0,8046;5;22/01/21;EEE31;2020;2;6,8;60;Trancado
88453;0,8046;5;22/01/21;EEE32;2020;2;7,2;60;Trancado
88453;0,8046;5;22/01/21;EEC21;2020;2;7,3;60;Trancado
88453;0,8046;5;22/01/21;EEQ32;2020;2;8,4;45;Trancado
88453;0,8046;5;22/01/21;EEC31;2020;2;6,9;30;Trancado
88453;0,8046;5;22/01/21;FI71S;2020;2;9;60;Trancado
88453;0,8046;5;22/01/21;FI72S;2020;2;9;60;Trancado
88453;0,8046;5;22/01/21;FI73S;2020;2;7,9;60;Trancado
88453;0,8046;5;22/01/21;FI74S;2020;2;7,5;60;Trancado
88453;0,8046;5;22/01/21;CSW48;2020;2;7;60;Trancado
88453;0,8046;5;22/01/21;EEC41;2020;2;7,8;60;Trancado
88453;0,8046;5;22/01/21;EL6BB;2020;2;8,4;60;Trancado
124741;0,6486;10;18/03/15;GE60K;2017;1;4,6;30;Trancado
124741;0,6486;10;18/03/15;QB60A;2015;1;9,5;30;Trancado
124741;0,6486;10;18/03/15;IF6AL;2018;2;6;60;Trancado
124741;0,6486;10;18/03/15;ENADE I;2015;1;;0;Trancado
124741;0,6486;10;18/03/15;ENADE C;2019;2;;0;Trancado
124741;0,6486;10;18/03/15;ENADE C;2017;2;;0;Trancado
124741;0,6486;10;18/03/15;EL66C;2015;1;7;60;Trancado
124741;0,6486;10;18/03/15;MA71A;2015;1;0;90;Trancado
124741;0,6486;10;18/03/15;MA71B;2015;1;0;90;Trancado
124741;0,6486;10;18/03/15;GE70F;2015;2;7,5;30;Trancado
124741;0,6486;10;18/03/15;GE70H;2016;2;9;30;Trancado
124741;0,6486;10;18/03/15;ES70B;2017;1;0;30;Trancado
124741;0,6486;10;18/03/15;FI71M;2015;1;0;60;Trancado
124741;0,6486;10;18/03/15;FI72N;2016;2;6;30;Trancado
124741;0,6486;10;18/03/15;FI72M;2016;1;7,4;60;Trancado
124741;0,6486;10;18/03/15;MA70C;2017;1;1,8;60;Trancado
124741;0,6486;10;18/03/15;ES70R;2015;1;0;30;Trancado
124741;0,6486;10;18/03/15;GE70K;2017;1;4,2;30;Trancado
124741;0,6486;10;18/03/15;EL62O;2015;1;9;45;Trancado
124741;0,6486;10;18/03/15;IF63O;2015;1;8,7;45;Trancado
124741;0,6486;10;18/03/15;EL64O;2015;1;6,8;75;Trancado
124741;0,6486;10;18/03/15;EL66K;2016;1;6,8;75;Trancado
124741;0,6486;10;18/03/15;EL66L;2016;1;8,8;30;Trancado
124741;0,6486;10;18/03/15;EL66L;2015;2;0;30;Trancado
124741;0,6486;10;18/03/15;CSG42;2017;2;2;30;Trancado
124741;0,6486;10;18/03/15;CSI53;2017;2;0,5;45;Trancado
124741;0,6486;10;18/03/15;CSV45;2018;2;8;60;Trancado
124741;0,6486;10;18/03/15;CSD40;2018;2;6;60;Trancado
124741;0,6486;10;18/03/15;CSD40;2016;2;0;60;Trancado
124741;0,6486;10;18/03/15;CSD40;2016;1;1;60;Trancado
124741;0,6486;10;18/03/15;CSE40;2017;2;0;45;Trancado
124741;0,6486;10;18/03/15;CSE40;2017;1;0;45;Trancado
124741;0,6486;10;18/03/15;CSX42;2018;1;9;30;Trancado
124741;0,6486;10;18/03/15;CSX43;2020;2;;30;Trancado
124741;0,6486;10;18/03/15;CSX43;2020;1;;30;Trancado
124741;0,6486;10;18/03/15;CSX43;2019;1;;30;Trancado
124741;0,6486;10;18/03/15;CSX43;2018;2;;30;Trancado
124741;0,6486;10;18/03/15;EEE32;2017;2;6,2;60;Trancado
124741;0,6486;10;18/03/15;EEX23;2017;2;6,5;45;Trancado
124741;0,6486;10;18/03/15;EEF31;2018;2;7;30;Trancado
124741;0,6486;10;18/03/15;MA61A;2015;1;6;90;Trancado
124741;0,6486;10;18/03/15;MA61B;2015;1;7,7;90;Trancado
124741;0,6486;10;18/03/15;FI61A;2015;1;6;75;Trancado
124741;0,6486;10;18/03/15;MA62A;2015;1;7;60;Trancado
124741;0,6486;10;18/03/15;FI62A;2016;2;6,9;75;Trancado
124741;0,6486;10;18/03/15;MA63A;2015;1;6;60;Trancado
124741;0,6486;10;18/03/15;MA63B;2015;1;6;60;Trancado
124741;0,6486;10;18/03/15;MA65A;2015;1;7,5;60;Trancado
124741;0,6486;10;18/03/15;FI66A;2015;1;6,4;30;Trancado
124741;0,6486;10;18/03/15;QB62A;2015;1;7;90;Trancado
124741;0,6486;10;18/03/15;ES60A;2015;1;9;30;Trancado
124741;0,6486;10;18/03/15;ES60B;2015;1;10;30;Trancado
124741;0,6486;10;18/03/15;ES60F;2015;1;8,2;30;Trancado
124741;0,6486;10;18/03/15;ES60G;2015;1;9,9;30;Trancado
124741;0,6486;10;18/03/15;ES61A;2015;1;7,8;30;Trancado
124741;0,6486;10;18/03/15;IF61B;2015;1;9,2;60;Trancado
124741;0,6486;10;18/03/15;IF61C;2015;1;8,3;90;Trancado
124741;0,6486;10;18/03/15;GE60D;2015;1;6,6;30;Trancado
124741;0,6486;10;18/03/15;GE60A;2015;1;7;30;Trancado
124741;0,6486;10;18/03/15;GE60C;2016;2;9;30;Trancado
124741;0,6486;10;18/03/15;GE60B;2015;2;7,5;30;Trancado
124741;0,6486;10;18/03/15;FI63A;2015;1;6,2;75;Trancado
124741;0,6486;10;18/03/15;IF62C;2015;1;6,6;60;Trancado
124741;0,6486;10;18/03/15;EL68A;2017;1;6;60;Trancado
124741;0,6486;10;18/03/15;EL68F;2016;2;8,5;60;Trancado
124741;0,6486;10;18/03/15;IF62J;2016;2;8,7;45;Trancado
124741;0,6486;10;18/03/15;IF66B;2015;1;7,7;60;Trancado
124741;0,6486;10;18/03/15;IF67D;2016;2;6,1;60;Trancado
