Período,[OPT],Código,Disciplina,Modelo de disciplina,Aulas teóricas semanais,Aulas práticas semanais,Total de aulas semanais,Total de aulas de APS,Total de aulas de APCC,Total de horas de AD,Total de horas de CHEXT,Total de horas CHEAD,Carga horária total,Pré-requisito(s),Disciplina_EQ,CHT_EQ,Grupo_EQ
 1,,CSD20,INTRODUÇÃO À LÓGICA PARA A COMPUTAÇÃO,FORMAÇÃO PROFISSIONAL,3,0,3,3,0,6,0,0,45,,"ICSD20 IF61B","45 60",
 1,,CSF13,FUNDAMENTOS DE PROGRAMAÇÃO 1,FORMAÇÃO PROFISSIONAL,3,3,6,6,0,0,0,0,90,,"ICSF13 IF61C","90 90",
 1,,FI71S,FÍSICA TEÓRICA A,FORMAÇÃO BÁSICA E CIENTÍFICA,4,0,4,9,0,0,0,0,60,,"FIS7F1 FI71M FI71Z","60 60 60",
 1,,MA71A,CÁLCULO DIFERENCIAL E INTEGRAL 1,FORMAÇÃO PROFISSIONAL,6,0,6,6,0,0,0,0,90,,"MAT7C1 MA61A MA71Z","90 90 90",
 1,,MA71B,GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,FORMAÇÃO PROFISSIONAL,6,0,6,6,0,0,0,0,90,,"MAT7AL MAT7GA MA61B MA71I MA71Y MA72I","60 60 90 45 90 60","99 99 10 10"
 2,,CSE20,TÉCNICAS DE PROGRAMAÇÃO,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,CSF13,"ICSE20 IF62C","60 60",
 2,,CSF20,ESTRUTURA DE DADOS 1,FORMAÇÃO PROFISSIONAL,2,1,3,3,0,6,0,0,45,CSF13,"ICSF20 IF62E","45 60",
 2,,CSX53,ATIVIDADES COMPLEMENTARES,ATIVIDADES COMPLEMENTARES,0,0,0,0,0,0,0,0,180,,,,
 2,,EEX11,INTRODUÇÃO À PRÁTICAS DE LABORATÓRIO EM ELETRICIDADE E ELETRÔNICA,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,6,0,0,45,,"ELEX10 ELE11","45 60",
 2,,FI72N,FÍSICA EXPERIMENTAL 1,FORMAÇÃO PROFISSIONAL,0,2,2,2,0,0,0,0,30,"FI71S MA71A","FIS7E1 FI61A FI62A FI71A FI71Y FI72A FI72B","30 75 75 75 30 75 90",
 2,,FI72S,FÍSICA TEÓRICA B,FORMAÇÃO BÁSICA E CIENTÍFICA,4,0,4,9,0,0,0,0,60,"FI71S MA71A","FIS7F2 FI72M FI72Z","60 60 60",
