,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO
492,51868,"0,8203",10,28/02/11,EL65F,2015,2,"9,5",60,Formado
1320,65621,"0,8026",10,19/07/10,EL6CA,2014,1,"9,3",60,Formado
1321,65621,"0,8026",10,19/07/10,ES70B,2013,1,"9,8",30,Formado
1677,83464,"0,7688",10,24/10/12,EL65F,2015,2,"8,6",60,Formado
1737,83987,"0,8929",10,09/08/10,EL6EE,2017,1,10,60,Formado
1738,83987,"0,8929",10,09/08/10,CSD40,2016,1,10,60,Formado
1739,83987,"0,8929",10,09/08/10,ED70T,2017,1,10,30,Formado
1745,83987,"0,8929",10,09/08/10,ES70B,2016,1,10,30,Formado
2006,84050,"0,7846",10,01/03/10,EL6CA,2014,2,"8,5",60,Formado
2095,84061,"0,9392",10,01/03/10,EL6CA,2014,2,"9,5",60,Formado
2876,90686,"0,6601",10,05/03/12,CSR41,2021,2,"9,5",60,Formado
2878,90686,"0,6601",10,05/03/12,CSH41,2021,2,"9,1",45,Formado
2891,90686,"0,6601",10,05/03/12,CSH30,2017,1,"7,2",45,Formado
2904,90729,"0,7686",10,03/08/15,CSM41,2019,1,"6,3",60,Formado
2927,90729,"0,7686",10,03/08/15,CSH43,2018,2,"6,5",60,Formado
2928,90729,"0,7686",10,03/08/15,EL64B,2017,2,"7,2",60,Formado
2930,90729,"0,7686",10,03/08/15,MA70C,2017,2,"7,8",60,Formado
2966,90729,"0,7686",10,03/08/15,CSM43,2019,1,10,60,Formado
2986,90729,"0,7686",10,03/08/15,CSH30,2017,2,"8,5",45,Formado
3008,90729,"0,7686",10,03/08/15,EL6AE,2015,2,9,60,Formado
3136,90741,"0,6807",10,28/02/11,EL6BC,2016,2,8,60,Formado
3231,90758,"0,7236",10,28/02/11,EL6CB,2016,2,"9,5",60,Formado
3285,90787,"0,6647",10,08/08/11,CSE42,2017,1,10,45,Formado
3286,90787,"0,6647",10,08/08/11,CSD40,2016,1,"6,7",60,Formado
3288,90787,"0,6647",10,08/08/11,CSM41,2017,2,"6,4",60,Formado
3290,90787,"0,6647",10,08/08/11,CSA44,2016,2,"7,6",60,Formado
3291,90787,"0,6647",10,08/08/11,CSM30,2017,2,"7,8",45,Formado
3379,90797,"0,6199",10,03/06/13,CSB51,2019,2,7,45,Formado
3414,90797,"0,6199",10,03/06/13,GE70F,2018,1,9,30,Formado
3420,90797,"0,6199",10,03/06/13,CSH42,2019,2,"7,8",45,Formado
3426,90797,"0,6199",10,03/06/13,CSB41,2016,1,"6,7",60,Formado
3448,90797,"0,6199",10,03/06/13,CSH30,2017,1,"7,3",45,Formado
3510,90797,"0,6199",10,03/06/13,ES70B,2018,1,"6,3",30,Formado
4688,94343,"0,7798",10,08/08/11,EL6BB,2018,1,"6,7",60,Formado
4689,94343,"0,7798",10,08/08/11,EL6BC,2018,1,"7,9",60,Formado
4723,94343,"0,7798",10,08/08/11,CSW55,2018,1,"9,3",45,Formado
4780,94397,"0,8718",10,08/08/11,CSD40,2016,1,10,60,Formado
4781,94397,"0,8718",10,08/08/11,IF6CJ,2015,2,"7,5",60,Formado
4879,94405,"0,7103",10,05/03/12,CSA44,2016,2,"6,7",60,Formado
4881,94405,"0,7103",10,05/03/12,ED70T,2017,1,"9,1",30,Formado
4882,94405,"0,7103",10,05/03/12,CSD40,2016,1,"6,7",60,Formado
4899,94405,"0,7103",10,05/03/12,ES70B,2016,1,9,30,Formado
4915,94442,"0,8061",10,05/03/12,ED70T,2017,1,"9,2",30,Formado
4930,94442,"0,8061",10,05/03/12,ES70B,2016,2,"7,1",30,Formado
4983,94442,"0,8061",10,05/03/12,EL6BB,2017,2,8,60,Formado
4984,94442,"0,8061",10,05/03/12,EL6BC,2018,1,"9,2",60,Formado
5007,96838,"0,6887",10,03/12/12,CSR42,2017,2,"9,1",60,Formado
5012,96838,"0,6887",10,03/12/12,CSI52,2017,2,"7,4",45,Formado
5030,96838,"0,6887",10,03/12/12,CSR41,2017,2,"8,8",60,Formado
5043,96838,"0,6887",10,03/12/12,CSH30,2017,2,"7,8",45,Formado
5077,96838,"0,6887",10,03/12/12,CSI56,2017,2,"8,8",45,Formado
5243,96887,"0,7396",10,05/03/12,CSI41,2018,1,"6,1",45,Formado
5248,96887,"0,7396",10,05/03/12,CSD40,2016,2,10,60,Formado
5249,96887,"0,7396",10,05/03/12,CSD42,2016,2,10,45,Formado
5250,96887,"0,7396",10,05/03/12,CSD45,2018,1,9,60,Formado
5260,96887,"0,7396",10,05/03/12,CSH30,2017,2,"8,2",45,Formado
5286,96887,"0,7396",10,05/03/12,CSD52,2018,1,10,60,Formado
5292,96887,"0,7396",10,05/03/12,EEY43,2018,1,"9,2",60,Formado
5293,96887,"0,7396",10,05/03/12,CSB51,2017,2,6,45,Formado
5295,96887,"0,7396",10,05/03/12,CSW45,2017,1,8,45,Formado
5302,96887,"0,7396",10,05/03/12,CSA43,2016,1,10,60,Formado
5303,96887,"0,7396",10,05/03/12,CSI57,2017,1,10,45,Formado
5306,96887,"0,7396",10,05/03/12,CSI52,2017,2,"8,8",45,Formado
5638,101327,"0,8838",10,19/11/12,CSI53,2018,2,"8,2",45,Formado
5721,101334,"0,7589",10,29/10/13,ES70B,2018,1,"8,5",30,Formado
5735,101334,"0,7589",10,29/10/13,CSH30,2017,2,"7,8",45,Formado
5743,101334,"0,7589",10,29/10/13,CSR41,2017,2,"7,3",60,Formado
5778,101334,"0,7589",10,29/10/13,CSR44,2017,2,"9,4",60,Formado
5927,101337,"0,6648",10,03/12/12,CSE41,2019,1,"8,5",45,Formado
5928,101337,"0,6648",10,03/12/12,CSH30,2017,1,"8,4",45,Formado
5984,101337,"0,6648",10,03/12/12,CSE40,2018,2,6,45,Formado
7042,104355,"0,8065",10,03/06/13,CSD45,2018,2,9,60,Formado
7044,104355,"0,8065",10,03/06/13,CSV45,2019,2,10,60,Formado
7045,104355,"0,8065",10,03/06/13,CSV30,2018,2,10,60,Formado
7046,104355,"0,8065",10,03/06/13,CSH51,2018,2,9,45,Formado
7052,104355,"0,8065",10,03/06/13,CSH30,2017,1,"8,8",45,Formado
