ID_ANONIMO;CR;PERIODO;INGRESSO;CODIGO;ANO;PERIODO;NOTA;CH;SITUACAOALUNO
7034;0;1;19/08/15;ES70R;2015;2;0;30;Desistente
7034;0;1;19/08/15;FI71M;2015;2;0;60;Desistente
7034;0;1;19/08/15;IF61C;2015;2;0;90;Desistente
7034;0;1;19/08/15;MA71B;2015;2;0;90;Desistente
7034;0;1;19/08/15;IF61B;2015;2;0;60;Desistente
7034;0;1;19/08/15;MA71A;2015;2;0;90;Desistente
10262;0;1;01/03/10;MA61A;2010;1;0;90;Desistente
10262;0;1;01/03/10;FI61A;2010;1;0;75;Desistente
10262;0;1;01/03/10;IF61C;2010;1;0;90;Desistente
10262;0;1;01/03/10;IF61B;2010;1;0;60;Desistente
10262;0;1;01/03/10;ES61A;2010;1;0;30;Desistente
10262;0;1;01/03/10;MA61B;2010;1;0;90;Desistente
10721;0,2657;1;11/03/19;FI71M;2019;2;2,3;60;Desistente
10721;0,2657;1;11/03/19;CSD20;2019;1;2,9;45;Desistente
10721;0,2657;1;11/03/19;FI71M;2019;1;2,7;60;Desistente
10721;0,2657;1;11/03/19;CSD20;2019;2;0;45;Desistente
10721;0,2657;1;11/03/19;MA71A;2019;1;4;90;Desistente
10721;0,2657;1;11/03/19;MA71B;2019;1;4,5;90;Desistente
10721;0,2657;1;11/03/19;CSF13;2019;1;6,2;90;Desistente
10721;0,2657;1;11/03/19;ENADE I;2019;2;;0;Desistente
10721;0,2657;1;11/03/19;MA71B;2019;2;0;90;Desistente
10721;0,2657;1;11/03/19;MA71A;2019;2;0;90;Desistente
14058;0,70716;2;27/12/11;MA61B;2012;1;6;90;Mudou de Curso
14058;0,70716;2;27/12/11;IF66J;2012;1;7;45;Mudou de Curso
14058;0,70716;2;27/12/11;FI62A;2012;1;8,2;75;Mudou de Curso
14058;0,70716;2;27/12/11;FI63A;2012;1;8,6;75;Mudou de Curso
14058;0,70716;2;27/12/11;MA63A;2012;1;6,5;60;Mudou de Curso
14058;0,70716;2;27/12/11;EL63B;2012;1;7,1;75;Mudou de Curso
14058;0,70716;2;27/12/11;EL65A;2012;1;7;90;Mudou de Curso
14058;0,70716;2;27/12/11;IF64J;2012;1;9;45;Mudou de Curso
14058;0,70716;2;27/12/11;MA63C;2012;1;6;60;Mudou de Curso
14058;0,70716;2;27/12/11;MA61A;2012;1;7,2;90;Mudou de Curso
14058;0,70716;2;27/12/11;ET77B;2012;1;6;90;Mudou de Curso
14058;0,70716;2;27/12/11;ET75E;2012;1;7,4;60;Mudou de Curso
14058;0,70716;2;27/12/11;QB70D;2012;1;0;90;Mudou de Curso
14058;0,70716;2;27/12/11;ET75F;2012;1;6,2;60;Mudou de Curso
14058;0,70716;2;27/12/11;QB70E;2012;1;9;30;Mudou de Curso
14058;0,70716;2;27/12/11;QB60A;2012;1;9;30;Mudou de Curso
14058;0,70716;2;27/12/11;ENADE I;2012;1;0;0;Mudou de Curso
14058;0,70716;2;27/12/11;MA65A;2012;1;6;60;Mudou de Curso
14058;0,70716;2;27/12/11;IF62J;2012;1;8;45;Mudou de Curso
14058;0,70716;2;27/12/11;MA62A;2012;1;7,8;60;Mudou de Curso
14058;0,70716;2;27/12/11;IF61C;2012;1;7;90;Mudou de Curso
14058;0,70716;2;27/12/11;EL64H;2012;1;6;45;Mudou de Curso
14058;0,70716;2;27/12/11;FI61A;2012;1;6;75;Mudou de Curso
22184;0,66367;3;27/12/11;MA63A;2012;1;7;60;Desistente
22184;0,66367;3;27/12/11;ENADE I;2012;1;0;0;Desistente
22184;0,66367;3;27/12/11;EL66C;2012;1;7;60;Desistente
22184;0,66367;3;27/12/11;EL66H;2012;1;7,5;60;Desistente
22184;0,66367;3;27/12/11;EL66D;2012;1;7;60;Desistente
22184;0,66367;3;27/12/11;EL68G;2012;1;7;60;Desistente
22184;0,66367;3;27/12/11;ES61A;2012;1;8,6;30;Desistente
22184;0,66367;3;27/12/11;IF61B;2012;1;6;60;Desistente
22184;0,66367;3;27/12/11;MA61A;2012;1;7,1;90;Desistente
22184;0,66367;3;27/12/11;MA62A;2012;1;7,1;60;Desistente
22184;0,66367;3;27/12/11;IF62J;2012;1;9,6;45;Desistente
22184;0,66367;3;27/12/11;IF63C;2012;1;6;45;Desistente
22184;0,66367;3;27/12/11;EL63B;2012;1;7,8;75;Desistente
22184;0,66367;3;27/12/11;EL65G;2012;1;6;60;Desistente
22184;0,66367;3;27/12/11;IF65C;2012;1;6;45;Desistente
22184;0,66367;3;27/12/11;EL66I;2012;1;8;60;Desistente
22184;0,66367;3;27/12/11;IF62C;2012;1;6,1;60;Desistente
22184;0,66367;3;27/12/11;MA63C;2012;1;6;60;Desistente
22184;0,66367;3;27/12/11;IF61C;2012;1;6,1;90;Desistente
22184;0,66367;3;27/12/11;MA61B;2012;1;7,4;90;Desistente
22184;0,66367;3;27/12/11;FI61A;2012;1;6;75;Desistente
22184;0,66367;3;27/12/11;FI62A;2012;1;6;75;Desistente
22184;0,66367;3;27/12/11;FI63A;2012;1;7,3;75;Desistente
22184;0,66367;3;27/12/11;EL62A;2012;1;9,5;60;Desistente
22184;0,66367;3;27/12/11;ES60A;2012;1;7,7;30;Desistente
22184;0,66367;3;27/12/11;IF64C;2012;1;6;45;Desistente
22184;0,66367;3;27/12/11;EL65A;2012;1;6;90;Desistente
22184;0,66367;3;27/12/11;EL64H;2012;1;6;45;Desistente
22184;0,66367;3;27/12/11;IF65E;2012;1;6;60;Desistente
22184;0,66367;3;27/12/11;IF67D;2012;1;6;60;Desistente
22184;0,66367;3;27/12/11;MA64A;2012;1;7;60;Desistente
22184;0,66367;3;27/12/11;FI64A;2012;1;7,3;60;Desistente
22184;0,66367;3;27/12/11;IF60A;2012;1;8;30;Desistente
22184;0,66367;3;27/12/11;IF63F;2012;1;0;60;Desistente
22184;0,66367;3;27/12/11;EL65H;2012;1;6;90;Desistente
24556;0,2784;2;19/07/07;ES61A;2007;2;9,2;30;Desistente
24556;0,2784;2;19/07/07;IF61B;2007;2;2,4;60;Desistente
24556;0,2784;2;19/07/07;IF61C;2007;2;3,4;90;Desistente
24556;0,2784;2;19/07/07;IF61B;2013;1;0;60;Desistente
24556;0,2784;2;19/07/07;IF61C;2012;2;0;90;Desistente
24556;0,2784;2;19/07/07;IF61B;2012;2;0;60;Desistente
24556;0,2784;2;19/07/07;EL62A;2012;1;0;60;Desistente
24556;0,2784;2;19/07/07;FI64C;2012;1;0,7;60;Desistente
24556;0,2784;2;19/07/07;IF61C;2011;2;0;90;Desistente
24556;0,2784;2;19/07/07;IF61B;2011;2;0;60;Desistente
24556;0,2784;2;19/07/07;IF61C;2011;1;0;90;Desistente
24556;0,2784;2;19/07/07;MA61B;2010;1;7;90;Desistente
24556;0,2784;2;19/07/07;IF61C;2010;1;5;90;Desistente
24556;0,2784;2;19/07/07;IF61B;2010;1;3,4;60;Desistente
24556;0,2784;2;19/07/07;MA61A;2007;2;7,1;90;Desistente
24556;0,2784;2;19/07/07;MA61B;2007;2;0;90;Desistente
24556;0,2784;2;19/07/07;FI61A;2007;2;7;75;Desistente
25174;0,4972;3;28/02/11;FI62A;2011;2;6,4;75;Desistente
25174;0,4972;3;28/02/11;ES61A;2011;1;8,3;30;Desistente
25174;0,4972;3;28/02/11;FI63A;2011;2;6,3;75;Desistente
25174;0,4972;3;28/02/11;MA62A;2011;2;7,2;60;Desistente
25174;0,4972;3;28/02/11;ENADE I;2011;2;;0;Desistente
25174;0,4972;3;28/02/11;IF61B;2011;2;0;60;Desistente
25174;0,4972;3;28/02/11;IF62C;2011;2;0;60;Desistente
25174;0,4972;3;28/02/11;IF62J;2011;2;1,3;45;Desistente
25174;0,4972;3;28/02/11;EL62A;2011;2;0;60;Desistente
25174;0,4972;3;28/02/11;FI61A;2011;1;6;75;Desistente
25174;0,4972;3;28/02/11;MA61B;2011;1;7;90;Desistente
25174;0,4972;3;28/02/11;MA61A;2011;1;8;90;Desistente
25174;0,4972;3;28/02/11;IF61C;2011;1;8,6;90;Desistente
25174;0,4972;3;28/02/11;IF61B;2011;1;0,5;60;Desistente
25174;0,4972;3;28/02/11;QB62A;2011;2;5,3;90;Desistente
43124;0;1;09/04/14;MA71A;2014;1;0;90;Desistente (sem Cursar)
43124;0;1;09/04/14;FI71M;2014;1;0;60;Desistente (sem Cursar)
43124;0;1;09/04/14;MA71B;2014;1;0;90;Desistente (sem Cursar)
43124;0;1;09/04/14;ES70R;2014;1;0;30;Desistente (sem Cursar)
43124;0;1;09/04/14;IF61C;2014;1;0;90;Desistente (sem Cursar)
43124;0;1;09/04/14;IF61B;2014;1;0;60;Desistente (sem Cursar)
43184;0,3607;3;29/10/13;FI73A;2015;2;0;75;Desistente
43184;0,3607;3;29/10/13;FI72N;2015;2;7;30;Desistente
43184;0,3607;3;29/10/13;FI62A;2015;2;6,6;75;Desistente
43184;0,3607;3;29/10/13;MA70G;2015;2;0;60;Desistente
43184;0,3607;3;29/10/13;IF62C;2015;2;7,5;60;Desistente
43184;0,3607;3;29/10/13;MA70H;2015;2;3;60;Desistente
43184;0,3607;3;29/10/13;IF63E;2015;2;3,5;60;Desistente
43184;0,3607;3;29/10/13;IF62J;2015;1;0;45;Desistente
43184;0,3607;3;29/10/13;IF63E;2015;1;3,6;60;Desistente
43184;0,3607;3;29/10/13;IF63O;2015;1;7,2;45;Desistente
43184;0,3607;3;29/10/13;FI72N;2015;1;0;30;Desistente
43184;0,3607;3;29/10/13;FI64C;2015;1;3,5;60;Desistente
43184;0,3607;3;29/10/13;MA72A;2015;1;7,2;60;Desistente
43184;0,3607;3;29/10/13;MA62A;2015;1;7,2;60;Desistente
43184;0,3607;3;29/10/13;ES60F;2015;1;9,3;30;Desistente
43184;0,3607;3;29/10/13;IF62C;2015;1;3,9;60;Desistente
43184;0,3607;3;29/10/13;ES70N;2015;1;9,3;30;Desistente
43184;0,3607;3;29/10/13;FI73A;2014;2;0;75;Desistente
43184;0,3607;3;29/10/13;MA71B;2013;2;5,1;90;Desistente
43184;0,3607;3;29/10/13;FI72N;2014;2;4,7;30;Desistente
43184;0,3607;3;29/10/13;MA71B;2014;2;6,5;90;Desistente
43184;0,3607;3;29/10/13;FI72M;2014;2;6,4;60;Desistente
43184;0,3607;3;29/10/13;IF62C;2014;2;2,6;60;Desistente
43184;0,3607;3;29/10/13;MA72A;2014;2;0,8;60;Desistente
43184;0,3607;3;29/10/13;ES60A;2014;2;8;30;Desistente
43184;0,3607;3;29/10/13;MA61B;2014;2;6,5;90;Desistente
43184;0,3607;3;29/10/13;FI64C;2016;1;0;60;Desistente
43184;0,3607;3;29/10/13;FI73A;2016;1;0,3;75;Desistente
43184;0,3607;3;29/10/13;IF63E;2016;1;0;60;Desistente
43184;0,3607;3;29/10/13;IF63C;2016;1;0;45;Desistente
43184;0,3607;3;29/10/13;MA70H;2016;1;0;60;Desistente
43184;0,3607;3;29/10/13;MA73A;2016;1;0;60;Desistente
43184;0,3607;3;29/10/13;ES70L;2014;2;8;30;Desistente
43184;0,3607;3;29/10/13;MA61A;2013;2;7,5;90;Desistente
43184;0,3607;3;29/10/13;MA71A;2013;2;7,5;90;Desistente
43184;0,3607;3;29/10/13;IF61C;2013;2;0,9;90;Desistente
43184;0,3607;3;29/10/13;IF61B;2013;2;6,3;60;Desistente
43184;0,3607;3;29/10/13;ES61A;2013;2;7,1;30;Desistente
43184;0,3607;3;29/10/13;EL62O;2014;1;7;45;Desistente
43184;0,3607;3;29/10/13;FI72N;2014;1;3;30;Desistente
43184;0,3607;3;29/10/13;FI72M;2014;1;1;60;Desistente
43184;0,3607;3;29/10/13;QB70D;2014;1;6,4;90;Desistente
43184;0,3607;3;29/10/13;QB62A;2014;1;6,4;90;Desistente
43184;0,3607;3;29/10/13;IF62J;2014;1;0;45;Desistente
43184;0,3607;3;29/10/13;MA72A;2014;1;3;60;Desistente
43184;0,3607;3;29/10/13;IF61C;2014;1;6,9;90;Desistente
43184;0,3607;3;29/10/13;ENADE I;2013;2;;0;Desistente
43184;0,3607;3;29/10/13;FI71M;2013;2;7,6;60;Desistente
43184;0,3607;3;29/10/13;FI61A;2013;2;7,6;75;Desistente
43184;0,3607;3;29/10/13;ES70R;2013;2;7,1;30;Desistente
43521;0,1676;1;09/02/09;ES61A;2009;1;0;30;Desistente
43521;0,1676;1;09/02/09;MA61B;2009;1;0,7;90;Desistente
43521;0,1676;1;09/02/09;MA61A;2009;1;3;90;Desistente
43521;0,1676;1;09/02/09;IF61B;2009;1;0,4;60;Desistente
43521;0,1676;1;09/02/09;FI61A;2009;1;3,4;75;Desistente
43521;0,1676;1;09/02/09;IF61C;2009;1;1,3;90;Desistente
49779;0,40801;4;01/02/07;MA63A;2010;1;2,5;60;Desistente
49779;0,40801;4;01/02/07;IF62C;2009;2;6,5;60;Desistente
49779;0,40801;4;01/02/07;IF66B;2009;2;7,5;60;Desistente
49779;0,40801;4;01/02/07;MA65A;2009;2;1,3;60;Desistente
49779;0,40801;4;01/02/07;MA62A;2009;2;4,5;60;Desistente
49779;0,40801;4;01/02/07;FI62A;2009;2;7;75;Desistente
