,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO
25905,171746.0,0.716,10,18/03/15,CSG20,2017,1,8.9,45,Formado
25906,171746.0,0.716,10,18/03/15,CSA31,2018,2,6.4,45,Formado
25907,171746.0,0.716,10,18/03/15,CSD20,2017,1,6.0,45,Formado
25908,171746.0,0.716,10,18/03/15,CSE30,2017,2,7.2,60,Formado
25909,171746.0,0.716,10,18/03/15,CSS30,2018,2,6.2,60,Formado
25910,171746.0,0.716,10,18/03/15,CSE20,2017,1,6.7,60,Formado
25911,171746.0,0.716,10,18/03/15,CSF20,2017,1,6.5,45,Formado
25912,171746.0,0.716,10,18/03/15,EEF21,2017,1,6.0,30,Formado
25913,171746.0,0.716,10,18/03/15,CSX53,2023,1,0.0,180,Formado
25914,171746.0,0.716,10,18/03/15,EEB22,2017,1,6.0,45,Formado
25915,171746.0,0.716,10,18/03/15,FI72S,2017,1,7.0,60,Formado
25916,171746.0,0.716,10,18/03/15,EEB21,2017,1,6.0,45,Formado
25917,171746.0,0.716,10,18/03/15,EEC31,2019,1,6.0,30,Formado
25918,171746.0,0.716,10,18/03/15,CSA31,2017,2,4.4,45,Formado
25919,171746.0,0.716,10,18/03/15,CSB41,2019,1,8.3,60,Formado
25920,171746.0,0.716,10,18/03/15,CSW42,2018,1,9.0,60,Formado
25921,171746.0,0.716,10,18/03/15,CSI30,2018,2,6.8,45,Formado
25922,171746.0,0.716,10,18/03/15,EEX23,2018,2,8.4,45,Formado
25923,171746.0,0.716,10,18/03/15,CSV45,2019,2,10.0,60,Formado
25924,171746.0,0.716,10,18/03/15,CSV30,2019,1,6.2,60,Formado
25925,171746.0,0.716,10,18/03/15,CSX42,2019,1,10.0,30,Formado
25926,171746.0,0.716,10,18/03/15,EEF31,2018,2,7.3,30,Formado
25927,171746.0,0.716,10,18/03/15,CSB51,2019,2,9.1,45,Formado
25928,171746.0,0.716,10,18/03/15,EEB31,2017,1,7.5,90,Formado
25929,171746.0,0.716,10,18/03/15,FI73S,2017,1,6.0,60,Formado
25930,171746.0,0.716,10,18/03/15,EEQ31,2017,1,7.2,75,Formado
25931,171746.0,0.716,10,18/03/15,CSW40,2017,2,6.4,60,Formado
25932,171746.0,0.716,10,18/03/15,CSW41,2018,1,7.5,60,Formado
25933,171746.0,0.716,10,18/03/15,EEE32,2017,2,6.6,60,Formado
25934,171746.0,0.716,10,18/03/15,CSR31,2017,1,7.5,30,Formado
25935,171746.0,0.716,10,18/03/15,FI71S,2017,1,6.0,60,Formado
25936,171746.0,0.716,10,18/03/15,CSX54,2019,1,9.4,400,Formado
25937,171746.0,0.716,10,18/03/15,EEF11,2017,1,10.0,30,Formado
25938,171746.0,0.716,10,18/03/15,EEX21,2017,1,9.0,45,Formado
25945,171746.0,0.716,10,18/03/15,EEX11,2017,1,8.3,45,Formado
25946,171746.0,0.716,10,18/03/15,CSX43,2023,1,8.0,30,Formado
25947,171746.0,0.716,10,18/03/15,FI54O,2019,1,10.0,33,Formado
25948,171746.0,0.716,10,18/03/15,EEE31,2017,1,8.8,60,Formado
25949,171746.0,0.716,10,18/03/15,CSW30,2017,1,7.5,60,Formado
25950,171746.0,0.716,10,18/03/15,FI74S,2017,1,6.9,60,Formado
25951,171746.0,0.716,10,18/03/15,FI74N,2017,1,6.0,30,Formado
25952,171746.0,0.716,10,18/03/15,EEX22,2017,1,8.3,45,Formado
25953,171746.0,0.716,10,18/03/15,EEC21,2018,1,7.3,60,Formado
25954,171746.0,0.716,10,18/03/15,EEQ32,2019,1,6.3,45,Formado
25955,171746.0,0.716,10,18/03/15,IF61C,2015,1,7.4,90,Formado
25956,171746.0,0.716,10,18/03/15,MA61A,2015,1,6.1,90,Formado
25957,171746.0,0.716,10,18/03/15,FI61A,2015,1,6.0,75,Formado
25958,171746.0,0.716,10,18/03/15,MA63B,2016,1,8.1,60,Formado
25959,171746.0,0.716,10,18/03/15,FI51C,2018,2,7.8,32,Formado
25960,171746.0,0.716,10,18/03/15,MA62A,2015,2,6.0,60,Formado
25961,171746.0,0.716,10,18/03/15,MA63A,2016,1,6.0,60,Formado
25962,171746.0,0.716,10,18/03/15,MA65A,2016,1,6.8,60,Formado
25964,171746.0,0.716,10,18/03/15,IF62J,2015,2,9.0,45,Formado
25965,171746.0,0.716,10,18/03/15,IF66B,2018,1,7.3,60,Formado
25966,171746.0,0.716,10,18/03/15,ES61A,2015,1,6.0,30,Formado
25969,171746.0,0.716,10,18/03/15,FI63A,2016,1,6.0,75,Formado
25970,171746.0,0.716,10,18/03/15,MA61B,2015,1,6.5,90,Formado
25971,171746.0,0.716,10,18/03/15,EL65A,2016,2,7.5,90,Formado
25972,171746.0,0.716,10,18/03/15,IF64J,2016,2,8.3,45,Formado
25973,171746.0,0.716,10,18/03/15,IF63C,2016,1,6.5,45,Formado
25974,171746.0,0.716,10,18/03/15,IF63E,2016,1,7.2,60,Formado
25975,171746.0,0.716,10,18/03/15,EL63B,2016,1,6.0,75,Formado
25976,171746.0,0.716,10,18/03/15,FI64C,2016,2,10.0,60,Formado
25977,171746.0,0.716,10,18/03/15,QB62A,2015,2,6.4,90,Formado
25978,171746.0,0.716,10,18/03/15,MA72A,2015,2,6.0,60,Formado
25979,171746.0,0.716,10,18/03/15,IF62C,2015,2,6.7,60,Formado
25980,171746.0,0.716,10,18/03/15,ES60A,2016,1,9.5,30,Formado
25981,171746.0,0.716,10,18/03/15,ES60F,2016,2,9.6,30,Formado
25982,171746.0,0.716,10,18/03/15,IF61B,2015,1,6.0,60,Formado
25983,171746.0,0.716,10,18/03/15,IF64C,2016,2,6.5,45,Formado
25984,171746.0,0.716,10,18/03/15,EL65G,2016,2,7.2,60,Formado
25985,171746.0,0.716,10,18/03/15,FI73A,2016,1,6.0,75,Formado
25986,171746.0,0.716,10,18/03/15,FI73A,2015,2,4.5,75,Formado
25987,171746.0,0.716,10,18/03/15,MA71A,2015,1,6.1,90,Formado
25988,171746.0,0.716,10,18/03/15,FI72M,2017,1,7.0,60,Formado
25989,171746.0,0.716,10,18/03/15,MA70H,2016,1,6.8,60,Formado
25990,171746.0,0.716,10,18/03/15,MA73A,2016,1,6.0,60,Formado
25991,171746.0,0.716,10,18/03/15,GE70D,2017,2,7.7,30,Formado
25992,171746.0,0.716,10,18/03/15,FI70A,2017,1,10.0,60,Formado
25993,171746.0,0.716,10,18/03/15,MA70G,2016,1,8.1,60,Formado
25994,171746.0,0.716,10,18/03/15,MA71B,2015,1,6.5,90,Formado
25995,171746.0,0.716,10,18/03/15,ES70P,2017,1,9.5,45,Formado
25996,171746.0,0.716,10,18/03/15,ES70R,2015,1,6.0,30,Formado
25997,171746.0,0.716,10,18/03/15,EL62O,2015,2,10.0,45,Formado
25998,171746.0,0.716,10,18/03/15,FI72N,2015,2,7.9,30,Formado
25999,171746.0,0.716,10,18/03/15,ES70G,2017,1,8.7,45,Formado
26000,171746.0,0.716,10,18/03/15,FI71M,2015,1,6.0,60,Formado
26001,171746.0,0.716,10,18/03/15,FI72M,2015,2,4.0,60,Formado
26002,171746.0,0.716,10,18/03/15,ES70L,2016,1,9.5,30,Formado
26003,171746.0,0.716,10,18/03/15,QB70C,2017,1,6.4,75,Formado
26004,171746.0,0.716,10,18/03/15,CSF13,2017,1,7.4,90,Formado
26005,171746.0,0.716,10,18/03/15,GE70H,2018,1,9.1,30,Formado
26006,171746.0,0.716,10,18/03/15,QB70D,2015,2,6.4,90,Formado
26007,171746.0,0.716,10,18/03/15,FI74M,2017,1,6.9,60,Formado
26008,171746.0,0.716,10,18/03/15,EL64O,2016,2,8.8,75,Formado
26009,171746.0,0.716,10,18/03/15,GE70F,2018,1,7.9,30,Formado
26010,171746.0,0.716,10,18/03/15,QB70E,2018,1,7.0,30,Formado
26011,171746.0,0.716,10,18/03/15,CSO30,2017,2,6.5,60,Formado
26012,171746.0,0.716,10,18/03/15,EL77A,2019,1,6.0,60,Formado
26013,171746.0,0.716,10,18/03/15,CSR30,2018,1,7.3,45,Formado
26014,171746.0,0.716,10,18/03/15,CSB30,2017,1,8.8,60,Formado
26015,171746.0,0.716,10,18/03/15,CSA30,2017,1,6.5,45,Formado
26016,171746.0,0.716,10,18/03/15,CSD21,2017,1,7.2,45,Formado
26017,171746.0,0.716,10,18/03/15,CSF30,2017,1,6.5,45,Formado
26018,171746.0,0.716,10,18/03/15,ES70N,2016,2,9.6,30,Formado
