CSD20,INTRODUÇÃO À LÓGICA PARA A COMPUTAÇÃO

CSF13,FUNDAMENTOS DE PROGRAMAÇÃO 1

FI71S,FÍSICA TEÓRICA A

MA71A,CÁLCULO DIFERENCIAL E INTEGRAL 1

MA71B,GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR

CSE20,TÉCNICAS DE PROGRAMAÇÃO

CSF20,ESTRUTURA DE DADOS 1

CSX53,ATIVIDADES COMPLEMENTARES

EEX11,INTRODUÇÃO À PRÁTICAS DE LABORATÓRIO EM ELETRICIDADE E ELETRÔNICA

FI72N,FÍSICA EXPERIMENTAL 1

FI72S,FÍSICA TEÓRICA B

MA72A,CÁLCULO DIFERENCIAL E INTEGRAL 2

QB70C,QUÍMICA

CSF30,ESTRUTURA DE DADOS 2

EEB21,ELETRICIDADE

EEX21,OFICINA DE INTEGRAÇÃO 1

FI73S,FÍSICA TEÓRICA C

MA70G,EQUAÇÕES DIFERENCIAIS ORDINÁRIAS

MA70H,PROBABILIDADE E ESTATÍSTICA

MA73A,CÁLCULO DIFERENCIAL E INTEGRAL 3

CSD21,MATEMÁTICA DISCRETA

EEB22,CIRCUITOS ELÉTRICOS

EEB31,CIRCUITOS DIGITAIS

EEF11,DESENHO TÉCNICO

EEQ31,ANÁLISE DE SISTEMAS LINEARES

FI74N,FÍSICA EXPERIMENTAL 2

FI74S,FÍSICA TEÓRICA D

CSA30,PROJETO E ANÁLISE DE ALGORITMOS

CSB30,INTRODUÇÃO A BANCO DE DADOS

CSG20,ANÁLISE E PROJETO DE SISTEMAS

CSR31,COMUNICAÇÃO DE DADOS

CSW30,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES

EEE31,ELETRÔNICA GERAL 1

EEF21,DESENHO TÉCNICO APLICADO

ES70G,SOCIOLOGIA

CSA31,TEORIA DA COMPUTAÇÃO

CSE30,ENGENHARIA DE SOFTWARE

CSO30,SISTEMAS OPERACIONAIS

CSW40,SISTEMAS MICROCONTROLADOS

CSX54,ESTÁGIO SUPERVISIONADO

EEE32,ELETRÔNICA GERAL 2

EEX22,OFICINA DE INTEGRAÇÃO 2

CSI30,SISTEMAS INTELIGENTES

CSR30,REDES DE COMPUTADORES

CSW41,SISTEMAS EMBARCADOS

CSW42,LÓGICA RECONFIGURÁVEL

EEC21,CONTROLE 1

EEQ32,PROCESSAMENTO DIGITAL DE SINAIS

ES70P,FILOSOFIA DA CIÊNCIA E DA TECNOLOGIA

CSA40,ALGORITMOS E COMPLEXIDADE

CSA41,COMPLEXIDADE COMPUTACIONAL

CSA42,TEORIA DOS GRAFOS

CSA43,COMPUTAÇÃO QUÂNTICA

CSA44,INTRODUÇÃO À CRIPTOGRAFIA

CSA45,GEOMETRIA COMPUTACIONAL

CSB40,BIBLIOTECAS DIGITAIS

CSB41,BANCO DE DADOS 2

CSB42,COMPUTAÇÃO BASEADA EM DADOS

CSB43,TÓPICOS EM BANCO DE DADOS

CSB50,BANCO DE DADOS

CSB51,RECUPERAÇÃO INTELIGENTE DE INFORMAÇÕES

CSB52,DATA WAREHOUSING

CSB53,INTRODUÇÃO A CIÊNCIAS DE DADOS

CSB54,INTRODUCTION TO DATA SCIENCE

CSB55,CIÊNCIA DE DADOS E MULTIDISCIPLINARIDADE

CSD40,SIMULAÇÃO DE EVENTOS DISCRETOS

CSD41,PROGRAMAÇÃO MATEMÁTICA

CSD42,SIMULAÇÃO DE SISTEMAS BIOLÓGICOS E SOCIAIS

CSD43,SIMULAÇÃO DE EVENTOS DISCRETOS

CSD45,MODELAGEM E AVALIAÇÃO DE SISTEMAS

CSD47,OTIMIZAÇÃO DE SISTEMAS

CSD52,INTRODUÇÃO À COMPUTAÇÃO CIENTÍFICA

CSD55,MÉTODOS ESTOCÁSTICOS

CSD57,MÉTODOS FORMAIS II

CSD58,TÓPICOS ESPECIAIS EM TELEMÁTICA III

CSE40,ENGENHARIA DE SOFTWARE 2

CSE41,ENGENHARIA DE REQUISITOS

CSE42,METODOLOGIAS ÁGEIS PARA O DESENVOLVIMENTO DE SOFTWARE

CSE43,TESTES, VERIFICAÇÃO E VALIDAÇÃO DE SISTEMAS

CSE44,SISTEMAS LEGADOS

CSE45,MODELAGEM DE SOFTWARE

CSE46,MÉTRICAS E ESTIMATIVAS DE SOFTWARE

CSE47,GERÊNCIA DE PROJETOS

CSE48,QUALIDADE DE SOFTWARE

CSG41,TECNOLOGIAS DA INFORMAÇÃO APLICADA À GESTÃO

CSG42,GESTÃO DO CONHECIMENTO

CSG43,SISTEMAS DE APOIO À DECISÃO

CSG44,INFORMÁTICA EM SAÚDE

CSG45,SISTEMAS DE INFORMAÇÃO EM SAÚDE

CSG47,INTELIGÊNCIA COLETIVA E REDES SOCIAIS ELETRÔNICAS

CSG48,MODELAGEM DE PROCESSOS DE NEGÓCIOS

CSG70,SISTEMAS DE INFORMAÇÃO E ORGANIZAÇÕES

CSH30,INTRODUÇÃO À INTERAÇÃO HUMANO-COMPUTADOR

CSH41,AVALIAÇÃO EM INTERAÇÃO HUMANO-COMPUTADOR

CSH42,ACESSIBILIDADE E INCLUSÃO DIGITAL

CSH43,TRABALHO COOPERATIVO APOIADO POR COMPUTADOR

CSH44,COMPUTAÇÃO E SOCIEDADE

CSH45,TÓPICOS EM DESIGN DE INTERAÇÃO

CSH50,FUNDAMENTOS EM INTERAÇÃO

CSH51,DESIGN DE INTERAÇÃO

CSI31,Ciências das Redes

CSI41,REDES NEURAIS

CSI42,META-HEURISTICAS INSPIRADAS EM INTELIGÊNCIA COLETIVA

CSI51,COMPUTAÇÃO EVOLUCIONÁRIA

CSI52,INTELIGÊNCIA ARTIFICIAL DISTRIBUÍDA

CSI53,MINERAÇÃO DE DADOS

CSI54,ONTOLOGIAS

CSI55,SISTEMAS AUTÔNOMOS INTELIGENTES

CSI56,SISTEMAS FUZZY

CSI57,INTRODUÇÃO ÀS CIÊNCIAS COGNITIVAS

CSI58,DATA MINING

CSL40,ESTRUTURA DE LINGUAGENS DE PROGRAMAÇÃO

CSL41,CONSTRUÇÃO DE COMPILADORES

CSM30,DESENVOLVIMENTO INTEGRADO DE SISTEMAS

CSM40,HTML/CSS

CSM41,DESENVOLVIMENTO DE APLICAÇÕES WEB

CSM42,INFRAESTRUTURA PARA TECNOLOGIA DE INFORMAÇÃO

CSM43,PROGRAMAÇÃO PARA DISPOSITIVOS MÓVEIS E SEM FIO

CSM44,WEB DESIGN

CSM45,COMPUTAÇÃO EM NUVEM

CSR20,CABEAMENTO ESTRUTURADO

CSR40,REDES E SISTEMAS DE COMUNICAÇÃO MÓVEIS

CSR41,OFICINA DE REDES

CSR42,INFRAESTRUTURA DE LANS HIERARQUICAS

CSR43,INFRAESTRUTURA DE WANS

CSR44,SEGURANÇA DE REDES E SISTEMAS

CSR45,PROJETO DE INFRAESTRUTURA DE REDES

CSR46,ROTEAMENTO E QUALIDADE DE SERVIÇOS EM REDES

CSR47,REDES SEM FIO

CSR48,SIMULAÇÃO E ANÁLISE DE DESEMPENHO DE REDES DE COMPUTADORES

CSR53,COMUNICAÇÕES SEM FIO

CSS30,SISTEMAS DISTRIBUÍDOS

CSU40,DESENVOLVIMENTO DE OBJETOS DE APRENDIZAGEM

CSU41,DESIGN INSTRUCIONAL

CSU42,INFORMÁTICA NA EDUCAÇÃO

CSU43,INTRODUÇÃO À EDUCAÇÃO À DISTÂNCIA

CSU44,SISTEMAS HIPERMIDIA ADAPTATIVOS

