,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO
29355,190493,"0,8987",10,02/03/17,MA71A,2017,1,8,90,Formado
29362,190493,"0,8987",10,02/03/17,MA71B,2017,1,"8,1",90,Formado
29368,190493,"0,8987",10,02/03/17,CSD20,2017,1,"9,1",45,Formado
29369,190493,"0,8987",10,02/03/17,CSF13,2017,1,"8,7",90,Formado
29375,190493,"0,8987",10,02/03/17,FI71M,2017,1,"8,3",60,Formado
29398,190493,"0,8987",10,02/03/17,FI71S,2017,1,"8,3",60,Formado
29341,190493,"0,8987",10,02/03/17,EEX11,2017,2,10,45,Formado
29344,190493,"0,8987",10,02/03/17,MA72A,2017,2,9,60,Formado
29356,190493,"0,8987",10,02/03/17,FI72M,2017,2,"9,5",60,Formado
29357,190493,"0,8987",10,02/03/17,QB70C,2017,2,9,75,Formado
29360,190493,"0,8987",10,02/03/17,ENADE I,2017,2,,0,Formado
29366,190493,"0,8987",10,02/03/17,CSE20,2017,2,"7,8",60,Formado
29367,190493,"0,8987",10,02/03/17,CSF20,2017,2,"9,4",45,Formado
29376,190493,"0,8987",10,02/03/17,FI72N,2017,2,"8,4",30,Formado
29379,190493,"0,8987",10,02/03/17,FI72S,2017,2,"9,5",60,Formado
29352,190493,"0,8987",10,02/03/17,MA70G,2018,1,"7,9",60,Formado
29353,190493,"0,8987",10,02/03/17,MA70H,2018,1,"9,1",60,Formado
29354,190493,"0,8987",10,02/03/17,MA73A,2018,1,"9,1",60,Formado
29370,190493,"0,8987",10,02/03/17,FI73M,2018,1,"9,2",60,Formado
29372,190493,"0,8987",10,02/03/17,CSF30,2018,1,"9,2",45,Formado
29380,190493,"0,8987",10,02/03/17,FI73S,2018,1,"9,2",60,Formado
29390,190493,"0,8987",10,02/03/17,EEB21,2018,1,"9,9",45,Formado
29394,190493,"0,8987",10,02/03/17,EEX21,2018,1,10,45,Formado
29327,190493,"0,8987",10,02/03/17,FI74S,2018,2,"8,5",60,Formado
29335,190493,"0,8987",10,02/03/17,FI74N,2018,2,"6,8",30,Formado
29343,190493,"0,8987",10,02/03/17,EEF11,2018,2,"9,8",30,Formado
29349,190493,"0,8987",10,02/03/17,FI74M,2018,2,"8,5",60,Formado
