,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO
29596,190499,"0,8264",10,02/03/17,MA71A,2017,1,"8,6",90,Formado
29604,190499,"0,8264",10,02/03/17,MA71B,2017,1,"7,6",90,Formado
29611,190499,"0,8264",10,02/03/17,CSD20,2017,1,"8,8",45,Formado
29613,190499,"0,8264",10,02/03/17,CSF13,2017,1,"8,3",90,Formado
29619,190499,"0,8264",10,02/03/17,FI71M,2017,1,"7,8",60,Formado
29641,190499,"0,8264",10,02/03/17,FI71S,2017,1,"7,8",60,Formado
29581,190499,"0,8264",10,02/03/17,EEX11,2017,2,"8,5",45,Formado
29597,190499,"0,8264",10,02/03/17,FI72M,2017,2,"8,6",60,Formado
29598,190499,"0,8264",10,02/03/17,QB70C,2017,2,"7,5",75,Formado
29601,190499,"0,8264",10,02/03/17,ENADE I,2017,2,,0,Formado
29605,190499,"0,8264",10,02/03/17,MA72A,2017,2,8,60,Formado
29609,190499,"0,8264",10,02/03/17,CSE20,2017,2,"7,3",60,Formado
29610,190499,"0,8264",10,02/03/17,CSF20,2017,2,"7,4",45,Formado
29620,190499,"0,8264",10,02/03/17,FI72N,2017,2,"6,3",30,Formado
29623,190499,"0,8264",10,02/03/17,FI72S,2017,2,"8,6",60,Formado
29586,190499,"0,8264",10,02/03/17,EEX21,2018,1,"8,7",45,Formado
29593,190499,"0,8264",10,02/03/17,MA70G,2018,1,"6,9",60,Formado
29594,190499,"0,8264",10,02/03/17,MA70H,2018,1,9,60,Formado
29595,190499,"0,8264",10,02/03/17,MA73A,2018,1,"7,3",60,Formado
29614,190499,"0,8264",10,02/03/17,FI73M,2018,1,"7,1",60,Formado
29616,190499,"0,8264",10,02/03/17,CSF30,2018,1,"8,9",45,Formado
29624,190499,"0,8264",10,02/03/17,FI73S,2018,1,"7,1",60,Formado
29635,190499,"0,8264",10,02/03/17,EEB21,2018,1,"7,7",45,Formado
29571,190499,"0,8264",10,02/03/17,FI74S,2018,2,7,60,Formado
29576,190499,"0,8264",10,02/03/17,FI74N,2018,2,"8,5",30,Formado
29585,190499,"0,8264",10,02/03/17,EEF11,2018,2,9,30,Formado
29591,190499,"0,8264",10,02/03/17,FI74M,2018,2,7,60,Formado
29615,190499,"0,8264",10,02/03/17,CSD21,2018,2,7,45,Formado
29622,190499,"0,8264",10,02/03/17,EEB22,2018,2,"6,5",45,Formado
29629,190499,"0,8264",10,02/03/17,EEB31,2018,2,"8,5",90,Formado
29647,190499,"0,8264",10,02/03/17,EEQ31,2018,2,"6,4",75,Formado
29578,190499,"0,8264",10,02/03/17,EEE31,2019,1,"8,1",60,Formado
29579,190499,"0,8264",10,02/03/17,CSW30,2019,1,"9,2",60,Formado
29587,190499,"0,8264",10,02/03/17,GE70D,2019,1,"8,2",30,Formado
