('MA64A', 'MA64A', {'weight': 1})
('GE62D', 'GE62D', {'weight': 1})
('GE72A', 'GE72A', {'weight': 1})
('GE70K', 'GE70K', {'weight': 1})
('IF67G', 'IF67G', {'weight': 1})
('IF66F', 'IF66F', {'weight': 1})
('ME60I', 'ME60I', {'weight': 1})
('FI63B', 'FI63B', {'weight': 1})
('CSD40', 'CSD40', {'weight': 1})
('GE64C', 'GE64C', {'weight': 1})
('DI85B', 'DI85B', {'weight': 1})
('EL6BF', 'EL6BF', {'weight': 1})
('IF6BJ', 'IF6BJ', {'weight': 1})
('EL6CC', 'EL6CC', {'weight': 1})
('CC75E', 'CC75E', {'weight': 1})
('FI55F', 'FI55F', {'weight': 1})
('CSG30', 'CSG30', {'weight': 1})
('ET72B', 'ET72B', {'weight': 1})
('ME64F', 'ME64F', {'weight': 1})
('EL65F', 'EL65F', {'weight': 1})
('EL6AF', 'EL6AF', {'weight': 1})
('CSW20', 'CSW20', {'weight': 1})
('CSB51', 'CSB51', {'weight': 1})
('EL76A', 'EL76A', {'weight': 1})
('DI81B', 'DI81B', {'weight': 1})
('ELF61', 'ELF61', {'weight': 1})
('CSM40', 'CSM40', {'weight': 1})
('CSB53', 'CSB53', {'weight': 1})
('ELB23', 'ELB23', {'weight': 1})
('DI81A', 'DI81A', {'weight': 1})
('DI82F', 'DI82F', {'weight': 1})
('ELF41', 'ELF41', {'weight': 1})
('ELP61', 'ELP61', {'weight': 1})
('MA72H', 'MA72H', {'weight': 1})
('MA74C', 'MA74C', {'weight': 1})
('EL6AB', 'EL6AB', {'weight': 1})
('EL6EA', 'EL6EA', {'weight': 1})
('DI83F', 'DI83F', {'weight': 1})
('ES7AK', 'ES7AK', {'weight': 1})
('MA63C', 'MA63C', {'weight': 2})
('FI64A', 'FI64A', {'weight': 2})
('GE60A', 'GE60A', {'weight': 2})
('ES70H', 'ES70H', {'weight': 2})
('CE62A', 'CE62A', {'weight': 2})
('MA70C', 'MA70C', {'weight': 2})
('EL66A', 'EL66A', {'weight': 2})
('CSM41', 'CSM41', {'weight': 2})
('CSI57', 'CSI57', {'weight': 2})
('GE73A', 'GE73A', {'weight': 2})
('EL64F', 'EL64F', {'weight': 2})
('GE73E', 'GE73E', {'weight': 2})
('CSV40', 'CSV40', {'weight': 2})
('CSH42', 'CSH42', {'weight': 2})
('DI61B', 'DI61B', {'weight': 2})
('MA78K', 'MA78K', {'weight': 2})
('FI71Z', 'FI71Z', {'weight': 2})
('CSM45', 'CSM45', {'weight': 2})
('EL8AA', 'EL8AA', {'weight': 2})
('EL68G', 'EL68G', {'weight': 3})
('EL66I', 'EL66I', {'weight': 3})
('IF60A', 'IF60A', {'weight': 3})
('IF6AG', 'IF6AG', {'weight': 3})
('GE60C', 'GE60C', {'weight': 3})
('IF66C', 'IF66C', {'weight': 3})
