Source,Target,Type,Id,Label,Weight
ES70R,EL62O,Directed,0,,259
ES70R,FI72N,Directed,1,,159
ES70R,FI72M,Directed,2,,166
ES70R,QB70D,Directed,3,,253
ES70R,QB62A,Directed,4,,201
ES70R,IF62J,Directed,5,,227
ES70R,MA72A,Directed,6,,254
ES70R,IF61C,Directed,7,,86
ES70R,MA71A,Directed,8,,122
ES70R,MA61A,Directed,9,,49
ES70R,MA71B,Directed,10,,103
ES70R,FI73A,Directed,11,,122
ES70R,IF63C,Directed,12,,12
ES70R,IF63E,Directed,13,,37
ES70R,DI64G,Directed,14,,1
ES70R,ES70L,Directed,15,,74
ES70R,IF63O,Directed,16,,52
ES70R,ES70R,Directed,17,,27
ES70R,ES61A,Directed,18,,11
ES70R,FI64C,Directed,19,,15
ES70R,ES70Q,Directed,20,,6
ES70R,ES60G,Directed,21,,6
ES70R,EL63B,Directed,22,,6
ES70R,MA63A,Directed,23,,11
ES70R,QB70E,Directed,24,,7
ES70R,MA63B,Directed,25,,14
ES70R,QB60A,Directed,26,,7
ES70R,CSF20,Directed,27,,27
ES70R,MA73A,Directed,28,,11
ES70R,CSD21,Directed,29,,9
ES70R,ES70N,Directed,30,,3
ES70R,MA70H,Directed,31,,17
ES70R,FI63A,Directed,32,,102
ES70R,FI62A,Directed,33,,122
ES70R,IF62C,Directed,34,,257
ES70R,ES60A,Directed,35,,58
ES70R,MA62A,Directed,36,,148
ES70R,DI56B,Directed,37,,2
ES70R,EL54A,Directed,38,,1
ES70R,EL62A,Directed,39,,42
ES70R,IF61B,Directed,40,,65
ES70R,DI85B,Directed,41,,1
ES70R,FI55G,Directed,42,,1
ES70R,ENADE I,Directed,43,,43
ES70R,FI71M,Directed,44,,120
ES70R,GE70L,Directed,45,,3
ES70R,GE60A,Directed,46,,2
ES70R,ME61J,Directed,47,,1
ES70R,ME69C,Directed,48,,1
ES70R,ED70H,Directed,49,,1
ES70R,FI70D,Directed,50,,7
ES70R,IF63F,Directed,51,,20
ES70R,GE70H,Directed,52,,14
ES70R,GE70D,Directed,53,,5
ES70R,GE70F,Directed,54,,5
ES70R,FI71A,Directed,55,,3
ES70R,EL64O,Directed,56,,2
ES70R,EL65A,Directed,57,,5
ES70R,FI61A,Directed,58,,43
ES70R,EL65H,Directed,59,,4
ES70R,IF65C,Directed,60,,9
ES70R,IF64C,Directed,61,,6
ES70R,IF65D,Directed,62,,6
ES70R,IF65E,Directed,63,,3
ES70R,IF66B,Directed,64,,2
ES70R,CE62A,Directed,65,,2
ES70R,GE60F,Directed,66,,1
ES70R,GE60B,Directed,67,,4
ES70R,GE60C,Directed,68,,14
ES70R,MA65A,Directed,69,,10
ES70R,GE73E,Directed,70,,1
ES70R,GE73G,Directed,71,,1
ES70R,IF61F,Directed,72,,3
ES70R,IF62F,Directed,73,,1
ES70R,CL62B,Directed,74,,1
ES70R,MA70G,Directed,75,,9
ES70R,FI72A,Directed,76,,2
ES70R,GE60D,Directed,77,,4
ES70R,ES60F,Directed,78,,1
ES70R,MA61B,Directed,79,,24
ES70R,CL21F,Directed,80,,4
ES70R,EL6BC,Directed,81,,1
ES70R,EL6CA,Directed,82,,1
ES70R,FI52Z,Directed,83,,1
ES70R,IF66D,Directed,84,,1
ES70R,EL64F,Directed,85,,1
ES70R,EL64H,Directed,86,,1
ES70R,IF65F,Directed,87,,1
ES70R,EL53G,Directed,88,,1
ES70R,EL65J,Directed,89,,1
ES70R,CL23I,Directed,90,,1
ES70R,ES70B,Directed,91,,2
ES70R,ES65A,Directed,92,,2
ES70R,IF64J,Directed,93,,4
ES70R,CSE20,Directed,94,,23
ES70R,EEX11,Directed,95,,22
ES70R,QB70C,Directed,96,,30
ES70R,FI72S,Directed,97,,13
ES70R,CSD20,Directed,98,,38
ES70R,FI71S,Directed,99,,23
ES70R,CSF13,Directed,100,,33
ES70R,EF62E,Directed,101,,2
ES70R,DI61C,Directed,102,,1
ES70R,ED70A,Directed,103,,1
ES70R,CSH30,Directed,104,,1
ES70R,EEF11,Directed,105,,7
ES70R,FI73S,Directed,106,,3
ES70R,CSF30,Directed,107,,4
ES70R,EEX21,Directed,108,,4
ES70R,ES70P,Directed,109,,2
ES70R,CSW30,Directed,110,,1
ES70R,CSG20,Directed,111,,1
ES70R,CSB30,Directed,112,,1
ES70R,CSO30,Directed,113,,1
ES70R,EEX22,Directed,114,,1
ES70R,FI70A,Directed,115,,2
ES70R,EEB22,Directed,116,,2
ES70R,FI74N,Directed,117,,1
ES70R,EEB21,Directed,118,,2
ES70R,EEE31,Directed,119,,1
ES70R,EEB31,Directed,120,,2
ES70R,EEQ31,Directed,121,,1
ES70R,FI74M,Directed,122,,1
ES70R,CSA30,Directed,123,,1
ES70R,ES70G,Directed,124,,3
ES70R,EEF21,Directed,125,,2
ES70R,EL66L,Directed,126,,2
ES70R,EL68A,Directed,127,,2
ES70R,ED60F,Directed,128,,2
ES70R,ED60G,Directed,129,,2
ES70R,ME62I,Directed,130,,1
ES70R,FI66A,Directed,131,,2
ES70R,ES70I,Directed,132,,1
ES70R,EL65G,Directed,133,,1
ES70R,IF66J,Directed,134,,1
ES70R,IF67D,Directed,135,,1
ES70R,IF69D,Directed,136,,1
ES70R,EL66D,Directed,137,,2
ES70R,EL68E,Directed,138,,1
ES70R,FI62B,Directed,139,,1
ES70R,IF6BV,Directed,140,,1
ES70R,MA64A,Directed,141,,1
ES70R,CSR31,Directed,142,,1
ES70R,FI73M,Directed,143,,1
ES70R,IF67B,Directed,144,,1
FI71M,FI71M,Directed,145,,468
FI71M,CSD20,Directed,146,,138
FI71M,ENADE I,Directed,147,,113
FI71M,MA71B,Directed,148,,343
FI71M,MA71A,Directed,149,,357
FI71M,EL62O,Directed,150,,241
FI71M,FI72N,Directed,151,,477
FI71M,FI72M,Directed,152,,534
FI71M,QB70D,Directed,153,,363
FI71M,QB62A,Directed,154,,159
FI71M,IF62J,Directed,155,,204
FI71M,MA72A,Directed,156,,661
FI71M,IF61C,Directed,157,,112
FI71M,MA61A,Directed,158,,45
FI71M,IF63O,Directed,159,,82
FI71M,IF63C,Directed,160,,39
FI71M,IF63E,Directed,161,,63
FI71M,ES70R,Directed,162,,21
FI71M,ES61A,Directed,163,,10
FI71M,FI64C,Directed,164,,21
FI71M,CSF20,Directed,165,,414
FI71M,MA73A,Directed,166,,108
FI71M,CSD21,Directed,167,,83
FI71M,ES70N,Directed,168,,19
FI71M,EL63B,Directed,169,,6
FI71M,MA70H,Directed,170,,85
FI71M,CSX10,Directed,171,,1
FI71M,GE72A,Directed,172,,1
FI71M,GE71A,Directed,173,,1
FI71M,ES70L,Directed,174,,77
FI71M,IF61B,Directed,175,,88
FI71M,MA62A,Directed,176,,134
FI71M,ES70Q,Directed,177,,8
FI71M,ES60G,Directed,178,,5
FI71M,FI73A,Directed,179,,149
FI71M,FI62A,Directed,180,,80
FI71M,DI85B,Directed,181,,3
FI71M,FI55G,Directed,182,,1
FI71M,IF62C,Directed,183,,237
FI71M,ES60A,Directed,184,,51
FI71M,IF64C,Directed,185,,8
FI71M,ES60F,Directed,186,,15
FI71M,FI61A,Directed,187,,62
FI71M,EL64O,Directed,188,,3
FI71M,EL65A,Directed,189,,3
FI71M,MA61B,Directed,190,,34
FI71M,EL65H,Directed,191,,3
FI71M,IF65C,Directed,192,,4
FI71M,CSF13,Directed,193,,222
FI71M,CC62D,Directed,194,,1
FI71M,CC62O,Directed,195,,1
FI71M,EEX11,Directed,196,,405
FI71M,CSE20,Directed,197,,422
FI71M,FI71S,Directed,198,,192
FI71M,ES70P,Directed,199,,12
FI71M,EEF11,Directed,200,,134
FI71M,CSF30,Directed,201,,83
FI71M,EEF21,Directed,202,,6
FI71M,CSG20,Directed,203,,6
FI71M,QB70C,Directed,204,,362
FI71M,EL62A,Directed,205,,17
FI71M,EL85C,Directed,206,,1
FI71M,CSH30,Directed,207,,11
FI71M,IF63F,Directed,208,,12
FI71M,EL64F,Directed,209,,1
FI71M,DI65G,Directed,210,,2
FI71M,ED70U,Directed,211,,1
FI71M,EEX21,Directed,212,,68
FI71M,CE62A,Directed,213,,1
FI71M,FI70D,Directed,214,,4
FI71M,MA65A,Directed,215,,6
FI71M,CL65A,Directed,216,,1
FI71M,CL65D,Directed,217,,1
FI71M,CE64H,Directed,218,,1
FI71M,CL68A,Directed,219,,1
FI71M,DI61H,Directed,220,,2
FI71M,IF62F,Directed,221,,1
FI71M,IF65D,Directed,222,,3
FI71M,IF61F,Directed,223,,2
FI71M,FI63A,Directed,224,,50
FI71M,MA70G,Directed,225,,76
FI71M,EL69C,Directed,226,,2
FI71M,DI61D,Directed,227,,1
FI71M,DI61K,Directed,228,,1
FI71M,MA63A,Directed,229,,9
FI71M,FI72S,Directed,230,,221
FI71M,DI81B,Directed,231,,2
FI71M,ELO92,Directed,232,,1
FI71M,EF62E,Directed,233,,2
FI71M,FI71F,Directed,234,,1
FI71M,FI75F,Directed,235,,1
FI71M,CSA31,Directed,236,,2
FI71M,EF63F,Directed,237,,1
FI71M,CE73D,Directed,238,,2
FI71M,MA73N,Directed,239,,1
FI71M,ES70H,Directed,240,,2
FI71M,EL72E,Directed,241,,1
