('QB70E', 'ES70P', {'weight': 1})
('QB70E', 'DI65H', {'weight': 1})
('QB70E', 'ELF51', {'weight': 1})
('QB70E', 'ELTE3', {'weight': 1})
('QB70E', 'ELF62', {'weight': 1})
('QB70E', 'EEC21', {'weight': 1})
('QB70E', 'EEQ32', {'weight': 1})
('QB70E', 'CSI30', {'weight': 1})
('QB70E', 'CSH30', {'weight': 1})
('QB70E', 'CSW42', {'weight': 1})
('QB70E', 'CSR30', {'weight': 1})
('ES70P', 'GE73D', {'weight': 1})
('ES70P', 'CSW41', {'weight': 1})
('ES70P', 'CSM44', {'weight': 1})
('ES70P', 'CSX42', {'weight': 1})
('ES70P', 'CSH42', {'weight': 1})
('ES70P', 'EEC31', {'weight': 1})
('ES70P', 'EL77A', {'weight': 1})
('ES70P', 'CSS30', {'weight': 1})
('ES70P', 'DI84D', {'weight': 1})
('GE70H', 'ES70P', {'weight': 1})
('GE70H', 'DI65H', {'weight': 1})
('GE70H', 'ELF51', {'weight': 1})
('GE70H', 'ELTE3', {'weight': 1})
('GE70H', 'ELF62', {'weight': 1})
('GE70H', 'EEC21', {'weight': 1})
('GE70H', 'EEQ32', {'weight': 1})
('GE70H', 'CSI30', {'weight': 1})
('GE70H', 'CSH30', {'weight': 1})
('GE70H', 'CSW42', {'weight': 1})
('GE70H', 'CSR30', {'weight': 1})
('GE73D', 'ENADE C', {'weight': 1})
('GE73D', 'CSM45', {'weight': 1})
('GE73D', 'CSM41', {'weight': 1})
('GE73D', 'CSX43', {'weight': 1})
('GE73D', 'CSX53', {'weight': 1})
('FI74M', 'QB70E', {'weight': 1})
('FI74M', 'GE70H', {'weight': 1})
('FI74M', 'ES70G', {'weight': 1})
('FI74M', 'GE70D', {'weight': 1})
('FI74M', 'ELB23', {'weight': 1})
('FI74M', 'EEX23', {'weight': 1})
('FI74M', 'EEF21', {'weight': 1})
('FI74M', 'EEF31', {'weight': 1})
('FI74M', 'CSE30', {'weight': 1})
('MA70G', 'FI74N', {'weight': 1})
('MA70G', 'EEF11', {'weight': 1})
('MA70G', 'EEQ31', {'weight': 1})
('MA70G', 'FI73S', {'weight': 1})
('MA70G', 'EEB31', {'weight': 1})
('MA70G', 'EEB22', {'weight': 1})
('MA70G', 'FI73M', {'weight': 1})
('MA70G', 'CSD21', {'weight': 1})
('MA70H', 'FI74N', {'weight': 1})
('MA70H', 'EEF11', {'weight': 1})
('MA70H', 'EEQ31', {'weight': 1})
('MA70H', 'FI73S', {'weight': 1})
('MA70H', 'EEB31', {'weight': 1})
('MA70H', 'EEB22', {'weight': 1})
('MA70H', 'FI73M', {'weight': 1})
('MA70H', 'CSD21', {'weight': 1})
('MA73A', 'FI74N', {'weight': 1})
('MA73A', 'EEF11', {'weight': 1})
('MA73A', 'EEQ31', {'weight': 1})
('MA73A', 'FI73S', {'weight': 1})
('MA73A', 'EEB31', {'weight': 1})
('MA73A', 'EEB22', {'weight': 1})
('MA73A', 'FI73M', {'weight': 1})
('MA73A', 'CSD21', {'weight': 1})
('MA71A', 'FI72M', {'weight': 1})
('MA71A', 'QB70C', {'weight': 1})
('MA71A', 'MA72A', {'weight': 1})
('MA71A', 'EEX11', {'weight': 1})
('MA71A', 'FI72S', {'weight': 1})
('MA71A', 'CSE20', {'weight': 1})
('MA71A', 'CSF20', {'weight': 1})
('MA71A', 'FI72N', {'weight': 1})
('FI72M', 'MA70G', {'weight': 1})
('FI72M', 'MA70H', {'weight': 1})
('FI72M', 'MA73A', {'weight': 1})
('FI72M', 'EEX21', {'weight': 1})
('FI72M', 'EEB21', {'weight': 1})
('FI72M', 'FI73M', {'weight': 1})
('FI72M', 'CSF30', {'weight': 1})
('QB70C', 'MA70G', {'weight': 1})
('QB70C', 'MA70H', {'weight': 1})
