Source,Target,Type,Id,Label,Weight
QB70E,ES70P,Directed,0,,1
QB70E,DI65H,Directed,1,,1
QB70E,ELF51,Directed,2,,1
QB70E,ELTE3,Directed,3,,1
QB70E,ELF62,Directed,4,,1
QB70E,EEC21,Directed,5,,1
QB70E,EEQ32,Directed,6,,1
QB70E,CSI30,Directed,7,,1
QB70E,CSH30,Directed,8,,1
QB70E,CSW42,Directed,9,,1
QB70E,CSR30,Directed,10,,1
ES70P,GE73D,Directed,11,,1
ES70P,CSW41,Directed,12,,1
ES70P,CSM44,Directed,13,,1
ES70P,CSX42,Directed,14,,1
ES70P,CSH42,Directed,15,,1
ES70P,EEC31,Directed,16,,1
ES70P,EL77A,Directed,17,,1
ES70P,CSS30,Directed,18,,1
ES70P,DI84D,Directed,19,,1
GE70H,ES70P,Directed,20,,1
GE70H,DI65H,Directed,21,,1
GE70H,ELF51,Directed,22,,1
GE70H,ELTE3,Directed,23,,1
GE70H,ELF62,Directed,24,,1
GE70H,EEC21,Directed,25,,1
GE70H,EEQ32,Directed,26,,1
GE70H,CSI30,Directed,27,,1
GE70H,CSH30,Directed,28,,1
GE70H,CSW42,Directed,29,,1
GE70H,CSR30,Directed,30,,1
GE73D,ENADE C,Directed,31,,1
GE73D,CSM45,Directed,32,,1
GE73D,CSM41,Directed,33,,1
GE73D,CSX43,Directed,34,,1
GE73D,CSX53,Directed,35,,1
FI74M,QB70E,Directed,36,,1
FI74M,GE70H,Directed,37,,1
FI74M,ES70G,Directed,38,,1
FI74M,GE70D,Directed,39,,1
FI74M,ELB23,Directed,40,,1
FI74M,EEX23,Directed,41,,1
FI74M,EEF21,Directed,42,,1
FI74M,EEF31,Directed,43,,1
FI74M,CSE30,Directed,44,,1
MA70G,FI74N,Directed,45,,1
MA70G,EEF11,Directed,46,,1
MA70G,EEQ31,Directed,47,,1
MA70G,FI73S,Directed,48,,1
MA70G,EEB31,Directed,49,,1
MA70G,EEB22,Directed,50,,1
MA70G,FI73M,Directed,51,,1
MA70G,CSD21,Directed,52,,1
MA70H,FI74N,Directed,53,,1
MA70H,EEF11,Directed,54,,1
MA70H,EEQ31,Directed,55,,1
MA70H,FI73S,Directed,56,,1
MA70H,EEB31,Directed,57,,1
MA70H,EEB22,Directed,58,,1
MA70H,FI73M,Directed,59,,1
MA70H,CSD21,Directed,60,,1
MA73A,FI74N,Directed,61,,1
MA73A,EEF11,Directed,62,,1
MA73A,EEQ31,Directed,63,,1
MA73A,FI73S,Directed,64,,1
MA73A,EEB31,Directed,65,,1
MA73A,EEB22,Directed,66,,1
MA73A,FI73M,Directed,67,,1
MA73A,CSD21,Directed,68,,1
MA71A,FI72M,Directed,69,,1
MA71A,QB70C,Directed,70,,1
MA71A,MA72A,Directed,71,,1
MA71A,EEX11,Directed,72,,1
MA71A,FI72S,Directed,73,,1
MA71A,CSE20,Directed,74,,1
MA71A,CSF20,Directed,75,,1
MA71A,FI72N,Directed,76,,1
FI72M,MA70G,Directed,77,,1
FI72M,MA70H,Directed,78,,1
FI72M,MA73A,Directed,79,,1
FI72M,EEX21,Directed,80,,1
FI72M,EEB21,Directed,81,,1
FI72M,FI73M,Directed,82,,1
FI72M,CSF30,Directed,83,,1
QB70C,MA70G,Directed,84,,1
QB70C,MA70H,Directed,85,,1
QB70C,MA73A,Directed,86,,1
QB70C,EEX21,Directed,87,,1
QB70C,EEB21,Directed,88,,1
QB70C,FI73M,Directed,89,,1
QB70C,CSF30,Directed,90,,1
ES70G,ES70P,Directed,91,,1
ES70G,DI65H,Directed,92,,1
ES70G,ELF51,Directed,93,,1
ES70G,ELTE3,Directed,94,,1
ES70G,ELF62,Directed,95,,1
ES70G,EEC21,Directed,96,,1
ES70G,EEQ32,Directed,97,,1
ES70G,CSI30,Directed,98,,1
ES70G,CSH30,Directed,99,,1
ES70G,CSW42,Directed,100,,1
ES70G,CSR30,Directed,101,,1
ENADE I,FI72M,Directed,102,,1
