Source,Target,Type,Id,Label,Weight
QB70E-2021/1,ES70P-2021/2,Directed,0,,1
QB70E-2021/1,DI65H-2021/2,Directed,1,,1
QB70E-2021/1,ELF51-2021/2,Directed,2,,1
QB70E-2021/1,ELTE3-2021/2,Directed,3,,1
QB70E-2021/1,ELF62-2021/2,Directed,4,,1
QB70E-2021/1,EEC21-2021/2,Directed,5,,1
QB70E-2021/1,EEQ32-2021/2,Directed,6,,1
QB70E-2021/1,CSI30-2021/2,Directed,7,,1
QB70E-2021/1,CSH30-2021/2,Directed,8,,1
QB70E-2021/1,CSW42-2021/2,Directed,9,,1
QB70E-2021/1,CSR30-2021/2,Directed,10,,1
ES70P-2021/2,GE73D-2022/1,Directed,11,,1
ES70P-2021/2,CSW41-2022/1,Directed,12,,1
ES70P-2021/2,CSM44-2022/1,Directed,13,,1
ES70P-2021/2,CSX42-2022/1,Directed,14,,1
ES70P-2021/2,CSH42-2022/1,Directed,15,,1
ES70P-2021/2,EEC31-2022/1,Directed,16,,1
ES70P-2021/2,EL77A-2022/1,Directed,17,,1
ES70P-2021/2,CSS30-2022/1,Directed,18,,1
ES70P-2021/2,DI84D-2022/1,Directed,19,,1
GE70H-2021/1,ES70P-2021/2,Directed,20,,1
GE70H-2021/1,DI65H-2021/2,Directed,21,,1
GE70H-2021/1,ELF51-2021/2,Directed,22,,1
GE70H-2021/1,ELTE3-2021/2,Directed,23,,1
GE70H-2021/1,ELF62-2021/2,Directed,24,,1
GE70H-2021/1,EEC21-2021/2,Directed,25,,1
GE70H-2021/1,EEQ32-2021/2,Directed,26,,1
GE70H-2021/1,CSI30-2021/2,Directed,27,,1
GE70H-2021/1,CSH30-2021/2,Directed,28,,1
GE70H-2021/1,CSW42-2021/2,Directed,29,,1
GE70H-2021/1,CSR30-2021/2,Directed,30,,1
GE73D-2022/1,ENADE C-2022/2,Directed,31,,1
GE73D-2022/1,CSM45-2022/2,Directed,32,,1
GE73D-2022/1,CSM41-2022/2,Directed,33,,1
GE73D-2022/1,CSX43-2022/2,Directed,34,,1
GE73D-2022/1,CSX53-2022/2,Directed,35,,1
FI74M-2020/2,QB70E-2021/1,Directed,36,,1
FI74M-2020/2,GE70H-2021/1,Directed,37,,1
FI74M-2020/2,ES70G-2021/1,Directed,38,,1
FI74M-2020/2,GE70D-2021/1,Directed,39,,1
FI74M-2020/2,ELB23-2021/1,Directed,40,,1
FI74M-2020/2,EEX23-2021/1,Directed,41,,1
FI74M-2020/2,EEF21-2021/1,Directed,42,,1
FI74M-2020/2,EEF31-2021/1,Directed,43,,1
FI74M-2020/2,CSE30-2021/1,Directed,44,,1
MA70G-2018/2,FI74N-2019/1,Directed,45,,1
MA70G-2018/2,EEF11-2019/1,Directed,46,,1
MA70G-2018/2,EEQ31-2019/1,Directed,47,,1
MA70G-2018/2,FI73S-2019/1,Directed,48,,1
MA70G-2018/2,EEB31-2019/1,Directed,49,,1
MA70G-2018/2,EEB22-2019/1,Directed,50,,1
MA70G-2018/2,FI73M-2019/1,Directed,51,,1
MA70G-2018/2,CSD21-2019/1,Directed,52,,1
MA70H-2018/2,FI74N-2019/1,Directed,53,,1
MA70H-2018/2,EEF11-2019/1,Directed,54,,1
MA70H-2018/2,EEQ31-2019/1,Directed,55,,1
MA70H-2018/2,FI73S-2019/1,Directed,56,,1
MA70H-2018/2,EEB31-2019/1,Directed,57,,1
MA70H-2018/2,EEB22-2019/1,Directed,58,,1
MA70H-2018/2,FI73M-2019/1,Directed,59,,1
MA70H-2018/2,CSD21-2019/1,Directed,60,,1
MA73A-2018/2,FI74N-2019/1,Directed,61,,1
MA73A-2018/2,EEF11-2019/1,Directed,62,,1
MA73A-2018/2,EEQ31-2019/1,Directed,63,,1
MA73A-2018/2,FI73S-2019/1,Directed,64,,1
MA73A-2018/2,EEB31-2019/1,Directed,65,,1
MA73A-2018/2,EEB22-2019/1,Directed,66,,1
MA73A-2018/2,FI73M-2019/1,Directed,67,,1
MA73A-2018/2,CSD21-2019/1,Directed,68,,1
MA71A-2017/2,FI72M-2018/1,Directed,69,,1
MA71A-2017/2,QB70C-2018/1,Directed,70,,1
MA71A-2017/2,MA72A-2018/1,Directed,71,,1
MA71A-2017/2,EEX11-2018/1,Directed,72,,1
MA71A-2017/2,FI72S-2018/1,Directed,73,,1
MA71A-2017/2,CSE20-2018/1,Directed,74,,1
MA71A-2017/2,CSF20-2018/1,Directed,75,,1
MA71A-2017/2,FI72N-2018/1,Directed,76,,1
FI72M-2018/1,MA70G-2018/2,Directed,77,,1
FI72M-2018/1,MA70H-2018/2,Directed,78,,1
FI72M-2018/1,MA73A-2018/2,Directed,79,,1
FI72M-2018/1,EEX21-2018/2,Directed,80,,1
FI72M-2018/1,EEB21-2018/2,Directed,81,,1
FI72M-2018/1,FI73M-2018/2,Directed,82,,1
FI72M-2018/1,CSF30-2018/2,Directed,83,,1
QB70C-2018/1,MA70G-2018/2,Directed,84,,1
QB70C-2018/1,MA70H-2018/2,Directed,85,,1
QB70C-2018/1,MA73A-2018/2,Directed,86,,1
QB70C-2018/1,EEX21-2018/2,Directed,87,,1
QB70C-2018/1,EEB21-2018/2,Directed,88,,1
QB70C-2018/1,FI73M-2018/2,Directed,89,,1
QB70C-2018/1,CSF30-2018/2,Directed,90,,1
ES70G-2021/1,ES70P-2021/2,Directed,91,,1
ES70G-2021/1,DI65H-2021/2,Directed,92,,1
ES70G-2021/1,ELF51-2021/2,Directed,93,,1
ES70G-2021/1,ELTE3-2021/2,Directed,94,,1
ES70G-2021/1,ELF62-2021/2,Directed,95,,1
ES70G-2021/1,EEC21-2021/2,Directed,96,,1
ES70G-2021/1,EEQ32-2021/2,Directed,97,,1
ES70G-2021/1,CSI30-2021/2,Directed,98,,1
ES70G-2021/1,CSH30-2021/2,Directed,99,,1
ES70G-2021/1,CSW42-2021/2,Directed,100,,1
ES70G-2021/1,CSR30-2021/2,Directed,101,,1
ENADE I-2017/2,FI72M-2018/1,Directed,102,,1
ENADE I-2017/2,QB70C-2018/1,Directed,103,,1
ENADE I-2017/2,MA72A-2018/1,Directed,104,,1
ENADE I-2017/2,EEX11-2018/1,Directed,105,,1
ENADE I-2017/2,FI72S-2018/1,Directed,106,,1
ENADE I-2017/2,CSE20-2018/1,Directed,107,,1
